"","cueSide","targetSide","cueValidity","cued","ValidityNum","RT","status","condition","subn"
"2","cueleft","targetleft","valid","cued",1,750,1,"C","01"
"3","cueleft","targetleft","valid","cued",1,553,1,"C","01"
"4","cueleft","targetleft","valid","cued",1,473,1,"C","01"
"5","cueright","targetleft","invalid","uncued",0,582,1,"C","01"
"6","cueleft","targetleft","valid","cued",1,358,1,"C","01"
"7","cueright","targetleft","invalid","uncued",0,522,1,"C","01"
"8","cueleft","targetleft","valid","cued",1,417,1,"C","01"
"9","cueright","targetright","valid","cued",1,481,1,"C","01"
"10","cueright","targetright","valid","cued",1,509,1,"C","01"
"11","cueright","targetright","valid","cued",1,346,1,"C","01"
"12","cueright","targetleft","invalid","uncued",0,537,1,"C","01"
"13","cueleft","targetleft","valid","cued",1,397,1,"C","01"
"14","cueright","targetright","valid","cued",1,404,1,"C","01"
"15","cueright","targetright","valid","cued",1,426,1,"C","01"
"16","cueright","targetright","valid","cued",1,505,1,"C","01"
"17","cueright","targetright","valid","cued",1,467,1,"C","01"
"18","cueleft","targetleft","valid","cued",1,362,1,"C","01"
"19","cueleft","targetleft","valid","cued",1,345,1,"C","01"
"20","cueleft","targetright","invalid","uncued",0,453,1,"C","01"
"21","cueleft","targetleft","valid","cued",1,415,1,"C","01"
"22","cueright","targetright","valid","cued",1,423,1,"C","01"
"23","cueright","targetright","valid","cued",1,559,1,"C","01"
"24","cueright","targetright","valid","cued",1,511,1,"C","01"
"25","cueright","targetright","valid","cued",1,1211,1,"C","01"
"26","cueright","targetright","valid","cued",1,411,1,"C","01"
"27","cueleft","targetleft","valid","cued",1,336,1,"C","01"
"28","cueright","targetleft","invalid","uncued",0,394,1,"C","01"
"29","cueleft","targetleft","valid","cued",1,377,1,"C","01"
"30","cueleft","targetleft","valid","cued",1,426,1,"C","01"
"31","cueleft","targetleft","valid","cued",1,426,1,"C","01"
"32","cueleft","targetleft","valid","cued",1,384,1,"C","01"
"33","cueright","targetleft","invalid","uncued",0,440,1,"C","01"
"34","cueleft","targetleft","valid","cued",1,439,1,"C","01"
"35","cueright","targetleft","invalid","uncued",0,396,1,"C","01"
"36","cueright","targetright","valid","cued",1,435,1,"C","01"
"37","cueleft","targetright","invalid","uncued",0,576,1,"C","01"
"38","cueright","targetleft","invalid","uncued",0,360,1,"C","01"
"39","cueright","targetright","valid","cued",1,442,1,"C","01"
"40","cueleft","targetright","invalid","uncued",0,506,1,"C","01"
"41","cueleft","targetright","invalid","uncued",0,417,1,"C","01"
"42","cueright","targetleft","invalid","uncued",0,511,1,"C","01"
"43","cueleft","targetleft","valid","cued",1,524,1,"C","01"
"44","cueleft","targetleft","valid","cued",1,390,1,"C","01"
"45","cueleft","targetright","invalid","uncued",0,533,1,"C","01"
"46","cueright","targetright","valid","cued",1,623,1,"C","01"
"47","cueright","targetright","valid","cued",1,423,1,"C","01"
"48","cueright","targetleft","invalid","uncued",0,478,1,"C","01"
"49","cueleft","targetleft","valid","cued",1,183,1,"C","01"
"50","cueright","targetright","valid","cued",1,325,1,"C","01"
"51","cueleft","targetleft","valid","cued",1,270,1,"C","01"
"52","cueleft","targetleft","valid","cued",1,338,1,"C","01"
"53","cueright","targetleft","invalid","uncued",0,421,1,"C","01"
"54","cueright","targetleft","invalid","uncued",0,331,1,"C","01"
"55","cueleft","targetleft","valid","cued",1,260,1,"C","01"
"56","cueleft","targetleft","valid","cued",1,344,1,"C","01"
"57","cueleft","targetleft","valid","cued",1,529,1,"C","01"
"58","cueright","targetright","valid","cued",1,483,1,"C","01"
"59","cueleft","targetleft","valid","cued",1,399,1,"C","01"
"60","cueleft","targetleft","valid","cued",1,423,1,"C","01"
"61","cueleft","targetright","invalid","uncued",0,416,1,"C","01"
"62","cueright","targetright","valid","cued",1,319,1,"C","01"
"63","cueleft","targetright","invalid","uncued",0,449,1,"C","01"
"64","cueleft","targetleft","valid","cued",1,452,1,"C","01"
"65","cueright","targetleft","invalid","uncued",0,562,1,"C","01"
"66","cueright","targetleft","invalid","uncued",0,358,1,"C","01"
"67","cueleft","targetright","invalid","uncued",0,415,1,"C","01"
"68","cueright","targetright","valid","cued",1,403,1,"C","01"
"69","cueleft","targetright","invalid","uncued",0,178,2,"C","01"
"70","cueleft","targetleft","valid","cued",1,330,1,"C","01"
"71","cueleft","targetright","invalid","uncued",0,412,1,"C","01"
"72","cueleft","targetright","invalid","uncued",0,396,1,"C","01"
"73","cueright","targetright","valid","cued",1,326,1,"C","01"
"74","cueright","targetright","valid","cued",1,327,1,"C","01"
"75","cueleft","targetleft","valid","cued",1,335,1,"C","01"
"76","cueleft","targetleft","valid","cued",1,417,1,"C","01"
"77","cueright","targetleft","invalid","uncued",0,456,1,"C","01"
"78","cueright","targetleft","invalid","uncued",0,471,1,"C","01"
"79","cueright","targetleft","invalid","uncued",0,376,1,"C","01"
"80","cueright","targetleft","invalid","uncued",0,426,1,"C","01"
"81","cueleft","targetleft","valid","cued",1,306,1,"C","01"
"82","cueleft","targetleft","valid","cued",1,325,1,"C","01"
"83","cueleft","targetright","invalid","uncued",0,526,1,"C","01"
"84","cueleft","targetleft","valid","cued",1,546,1,"C","01"
"85","cueleft","targetleft","valid","cued",1,203,1,"C","01"
"86","cueleft","targetleft","valid","cued",1,307,1,"C","01"
"87","cueright","targetright","valid","cued",1,403,1,"C","01"
"88","cueleft","targetleft","valid","cued",1,331,1,"C","01"
"89","cueleft","targetright","invalid","uncued",0,621,1,"C","01"
"90","cueright","targetright","valid","cued",1,470,1,"C","01"
"91","cueleft","targetleft","valid","cued",1,408,1,"C","01"
"92","cueright","targetright","valid","cued",1,487,1,"C","01"
"93","cueleft","targetright","invalid","uncued",0,478,1,"C","01"
"94","cueleft","targetleft","valid","cued",1,344,1,"C","01"
"95","cueright","targetright","valid","cued",1,323,1,"C","01"
"96","cueright","targetright","valid","cued",1,403,1,"C","01"
"97","cueleft","targetleft","valid","cued",1,426,1,"C","01"
"98","cueleft","targetleft","valid","cued",1,402,1,"C","01"
"99","cueright","targetright","valid","cued",1,399,1,"C","01"
"100","cueleft","targetleft","valid","cued",1,367,1,"C","01"
"101","cueright","targetright","valid","cued",1,415,1,"C","01"
"102","cueright","targetright","valid","cued",1,335,1,"C","01"
"103","cueleft","targetright","invalid","uncued",0,458,1,"C","01"
"104","cueright","targetleft","invalid","uncued",0,377,1,"C","01"
"105","cueleft","targetleft","valid","cued",1,384,1,"C","01"
"106","cueright","targetright","valid","cued",1,446,1,"C","01"
"107","cueright","targetright","valid","cued",1,454,1,"C","01"
"108","cueleft","targetright","invalid","uncued",0,496,1,"C","01"
"109","cueright","targetright","valid","cued",1,429,1,"C","01"
"110","cueright","targetleft","invalid","uncued",0,508,1,"C","01"
"111","cueleft","targetright","invalid","uncued",0,425,1,"C","01"
"112","cueright","targetright","valid","cued",1,368,1,"C","01"
"113","cueleft","targetleft","valid","cued",1,416,1,"C","01"
"114","cueright","targetleft","invalid","uncued",0,471,1,"C","01"
"115","cueleft","targetleft","valid","cued",1,325,1,"C","01"
"116","cueright","targetright","valid","cued",1,199,1,"C","01"
"117","cueright","targetleft","invalid","uncued",0,334,1,"C","01"
"118","cueleft","targetright","invalid","uncued",0,432,1,"C","01"
"119","cueleft","targetleft","valid","cued",1,422,1,"C","01"
"120","cueright","targetleft","invalid","uncued",0,474,1,"C","01"
"121","cueleft","targetright","invalid","uncued",0,478,1,"C","01"
"122","cueright","targetright","valid","cued",1,434,1,"C","01"
"123","cueright","targetright","valid","cued",1,346,1,"C","01"
"124","cueright","targetright","valid","cued",1,474,1,"C","01"
"125","cueleft","targetleft","valid","cued",1,382,1,"C","01"
"126","cueright","targetleft","invalid","uncued",0,478,1,"C","01"
"127","cueleft","targetleft","valid","cued",1,322,1,"C","01"
"128","cueleft","targetright","invalid","uncued",0,415,1,"C","01"
"129","cueleft","targetleft","valid","cued",1,349,1,"C","01"
"130","cueright","targetleft","invalid","uncued",0,478,1,"C","01"
"131","cueright","targetright","valid","cued",1,467,1,"C","01"
"132","cueleft","targetleft","valid","cued",1,363,1,"C","01"
"133","cueright","targetleft","invalid","uncued",0,634,1,"C","01"
"134","cueright","targetright","valid","cued",1,386,1,"C","01"
"135","cueright","targetright","valid","cued",1,522,1,"C","01"
"136","cueleft","targetleft","valid","cued",1,361,1,"C","01"
"137","cueleft","targetleft","valid","cued",1,387,1,"C","01"
"138","cueleft","targetleft","valid","cued",1,379,1,"C","01"
"139","cueright","targetleft","invalid","uncued",0,540,1,"C","01"
"140","cueright","targetright","valid","cued",1,462,1,"C","01"
"141","cueleft","targetleft","valid","cued",1,325,1,"C","01"
"142","cueright","targetright","valid","cued",1,309,1,"C","01"
"143","cueleft","targetleft","valid","cued",1,419,1,"C","01"
"144","cueright","targetright","valid","cued",1,352,1,"C","01"
"145","cueright","targetleft","invalid","uncued",0,368,1,"C","01"
"146","cueleft","targetleft","valid","cued",1,299,1,"C","01"
"147","cueright","targetright","valid","cued",1,647,1,"C","01"
"148","cueleft","targetright","invalid","uncued",0,509,1,"C","01"
"149","cueleft","targetleft","valid","cued",1,423,1,"C","01"
"150","cueleft","targetright","invalid","uncued",0,532,1,"C","01"
"151","cueleft","targetleft","valid","cued",1,367,1,"C","01"
"152","cueright","targetright","valid","cued",1,295,1,"C","01"
"153","cueright","targetright","valid","cued",1,316,1,"C","01"
"154","cueleft","targetleft","valid","cued",1,333,1,"C","01"
"155","cueright","targetright","valid","cued",1,295,1,"C","01"
"156","cueleft","targetleft","valid","cued",1,315,1,"C","01"
"157","cueleft","targetleft","valid","cued",1,351,1,"C","01"
"158","cueright","targetleft","invalid","uncued",0,528,1,"C","01"
"159","cueright","targetright","valid","cued",1,347,1,"C","01"
"160","cueright","targetright","valid","cued",1,413,1,"C","01"
"161","cueleft","targetleft","valid","cued",1,434,1,"C","01"
"162","cueright","targetright","valid","cued",1,410,1,"C","01"
"163","cueleft","targetright","invalid","uncued",0,616,1,"C","01"
"164","cueleft","targetleft","valid","cued",1,342,1,"C","01"
