"","trial","text","Congruency","status","RT","condition","subn"
"2",1,"XXCXX",1,1,1438,"C","01"
"3",2,"CCXCC",1,1,625,"C","01"
"4",3,"XXBXX",0,1,490,"C","01"
"5",4,"VVVVV",1,1,1006,"C","01"
"6",5,"CCXCC",1,1,615,"C","01"
"7",6,"XXBXX",0,1,759,"C","01"
"8",7,"XXCXX",1,1,771,"C","01"
"9",8,"BBBBB",1,1,970,"C","01"
"10",9,"CCCCC",1,1,636,"C","01"
"11",10,"CCBCC",0,1,747,"C","01"
"12",11,"BBBBB",1,1,596,"C","01"
"13",12,"CCBCC",0,1,677,"C","01"
"14",13,"XXXXX",1,1,894,"C","01"
"15",14,"VVCVV",0,1,506,"C","01"
"16",15,"VVBVV",1,1,1351,"C","01"
"17",16,"CCVCC",0,1,1361,"C","01"
"18",17,"VVXVV",0,1,763,"C","01"
"19",18,"CCXCC",1,1,644,"C","01"
"20",19,"CCVCC",0,1,731,"C","01"
"21",20,"CCXCC",1,1,734,"C","01"
"22",21,"VVXVV",0,1,890,"C","01"
"23",22,"CCCCC",1,2,565,"C","01"
"24",23,"VVXVV",0,1,884,"C","01"
"25",24,"BBXBB",0,1,594,"C","01"
"26",25,"VVCVV",0,1,773,"C","01"
"27",26,"VVCVV",0,1,461,"C","01"
"28",27,"XXCXX",1,1,468,"C","01"
"29",28,"VVXVV",0,1,655,"C","01"
"30",29,"BBBBB",1,1,831,"C","01"
"31",30,"XXBXX",0,1,727,"C","01"
"32",31,"VVCVV",0,1,789,"C","01"
"33",32,"XXXXX",1,1,834,"C","01"
"34",33,"CCCCC",1,1,523,"C","01"
"35",34,"VVCVV",0,1,783,"C","01"
"36",35,"VVCVV",0,1,511,"C","01"
"37",36,"BBVBB",1,1,713,"C","01"
"38",37,"CCXCC",1,1,671,"C","01"
"39",38,"BBXBB",0,1,621,"C","01"
"40",39,"VVVVV",1,1,659,"C","01"
"41",40,"XXVXX",0,1,738,"C","01"
"42",41,"VVCVV",0,1,621,"C","01"
"43",42,"XXXXX",1,1,708,"C","01"
"44",43,"BBCBB",0,1,586,"C","01"
"45",44,"BBBBB",1,1,583,"C","01"
"46",45,"VVXVV",0,1,505,"C","01"
"47",46,"XXXXX",1,1,533,"C","01"
"48",47,"BBCBB",0,1,576,"C","01"
"49",48,"BBBBB",1,1,490,"C","01"
"50",49,"CCVCC",0,1,607,"C","01"
"51",50,"CCCCC",1,1,543,"C","01"
"52",51,"BBVBB",1,1,577,"C","01"
"53",52,"BBCBB",0,1,572,"C","01"
"54",53,"XXXXX",1,1,565,"C","01"
"55",54,"BBXBB",0,1,447,"C","01"
"56",55,"VVCVV",0,1,645,"C","01"
"57",56,"CCXCC",1,1,482,"C","01"
"58",57,"BBCBB",0,1,457,"C","01"
"59",58,"CCVCC",0,1,671,"C","01"
"60",59,"VVBVV",1,1,581,"C","01"
"61",60,"CCVCC",0,1,702,"C","01"
"62",61,"VVCVV",0,1,569,"C","01"
"63",62,"VVXVV",0,1,697,"C","01"
"64",63,"BBVBB",1,1,614,"C","01"
"65",64,"BBCBB",0,1,527,"C","01"
"66",65,"VVXVV",0,1,641,"C","01"
"67",66,"BBBBB",1,1,776,"C","01"
"68",67,"VVXVV",0,1,626,"C","01"
"69",68,"VVBVV",1,1,864,"C","01"
"70",69,"CCXCC",1,1,589,"C","01"
"71",70,"XXXXX",1,1,686,"C","01"
"72",71,"BBBBB",1,1,675,"C","01"
"73",72,"VVVVV",1,1,436,"C","01"
"74",73,"BBXBB",0,1,590,"C","01"
"75",74,"VVBVV",1,1,1047,"C","01"
"76",75,"VVVVV",1,1,671,"C","01"
"77",76,"CCCCC",1,1,556,"C","01"
"78",77,"CCXCC",1,1,751,"C","01"
"79",78,"CCXCC",1,1,497,"C","01"
"80",79,"BBVBB",1,1,573,"C","01"
"81",80,"XXCXX",1,1,504,"C","01"
"82",81,"CCCCC",1,1,1026,"C","01"
"83",82,"XXCXX",1,1,483,"C","01"
"84",83,"BBVBB",1,1,695,"C","01"
"85",84,"XXVXX",0,1,892,"C","01"
"86",85,"XXXXX",1,1,663,"C","01"
"87",86,"CCBCC",0,1,846,"C","01"
"88",87,"CCCCC",1,1,492,"C","01"
"89",88,"XXXXX",1,1,585,"C","01"
"90",89,"BBXBB",0,1,554,"C","01"
"91",90,"XXBXX",0,2,468,"C","01"
"92",91,"BBCBB",0,1,734,"C","01"
"93",92,"XXBXX",0,1,619,"C","01"
"94",93,"CCVCC",0,1,596,"C","01"
"95",94,"CCCCC",1,1,531,"C","01"
"96",95,"XXXXX",1,1,613,"C","01"
"97",96,"BBVBB",1,1,1246,"C","01"
"98",97,"XXXXX",1,1,620,"C","01"
"99",98,"XXBXX",0,1,860,"C","01"
"100",99,"XXBXX",0,1,1337,"C","01"
"101",100,"VVCVV",0,1,477,"C","01"
"102",101,"VVXVV",0,1,698,"C","01"
"103",102,"BBBBB",1,1,565,"C","01"
"104",103,"BBBBB",1,1,554,"C","01"
"105",104,"BBCBB",0,1,585,"C","01"
"106",105,"CCVCC",0,1,1243,"C","01"
"107",106,"XXBXX",0,1,897,"C","01"
"108",107,"XXCXX",1,1,599,"C","01"
"109",108,"VVVVV",1,1,711,"C","01"
"110",109,"VVVVV",1,1,997,"C","01"
"111",110,"BBXBB",0,1,652,"C","01"
"112",111,"BBBBB",1,1,810,"C","01"
"113",112,"BBXBB",0,1,523,"C","01"
"114",113,"BBVBB",1,1,695,"C","01"
"115",114,"XXCXX",1,1,730,"C","01"
"116",115,"BBBBB",1,1,877,"C","01"
"117",116,"BBBBB",1,1,521,"C","01"
"118",117,"XXVXX",0,2,519,"C","01"
"119",118,"XXXXX",1,1,1725,"C","01"
"120",119,"BBVBB",1,1,1050,"C","01"
"121",120,"XXBXX",0,1,1073,"C","01"
"122",121,"BBCBB",0,1,687,"C","01"
"123",122,"XXXXX",1,1,603,"C","01"
"124",123,"BBVBB",1,1,851,"C","01"
"125",124,"CCXCC",1,1,514,"C","01"
"126",125,"CCCCC",1,1,597,"C","01"
"127",126,"VVXVV",0,1,684,"C","01"
"128",127,"VVCVV",0,1,578,"C","01"
"129",128,"BBVBB",1,1,809,"C","01"
"130",129,"VVXVV",0,1,738,"C","01"
"131",130,"VVBVV",1,1,1318,"C","01"
"132",131,"VVBVV",1,1,578,"C","01"
"133",132,"VVVVV",1,1,635,"C","01"
"134",133,"BBVBB",1,1,457,"C","01"
"135",134,"CCCCC",1,1,463,"C","01"
"136",135,"XXCXX",1,1,564,"C","01"
"137",136,"CCBCC",0,1,599,"C","01"
"138",137,"CCBCC",0,1,864,"C","01"
"139",138,"VVCVV",0,1,502,"C","01"
"140",139,"XXCXX",1,1,482,"C","01"
"141",140,"XXVXX",0,1,671,"C","01"
"142",141,"XXBXX",0,1,1092,"C","01"
"143",142,"XXCXX",1,1,834,"C","01"
"144",143,"VVBVV",1,1,656,"C","01"
"145",144,"XXCXX",1,1,534,"C","01"
"146",145,"VVBVV",1,1,664,"C","01"
"147",146,"CCCCC",1,1,640,"C","01"
"148",147,"XXBXX",0,1,476,"C","01"
"149",148,"BBXBB",0,1,730,"C","01"
"150",149,"BBXBB",0,1,686,"C","01"
"151",150,"XXCXX",1,1,649,"C","01"
"152",151,"XXVXX",0,1,979,"C","01"
"153",152,"XXCXX",1,1,546,"C","01"
"154",153,"XXVXX",0,1,828,"C","01"
"155",154,"VVBVV",1,1,795,"C","01"
"156",155,"BBBBB",1,1,708,"C","01"
"157",156,"CCBCC",0,1,473,"C","01"
"158",157,"XXBXX",0,1,438,"C","01"
"159",158,"VVVVV",1,1,661,"C","01"
"160",159,"XXBXX",0,1,618,"C","01"
"161",160,"XXCXX",1,1,609,"C","01"
"162",161,"BBCBB",0,1,520,"C","01"
"163",162,"VVVVV",1,1,574,"C","01"
"164",163,"CCVCC",0,1,462,"C","01"
"165",164,"CCBCC",0,1,509,"C","01"
"166",165,"CCCCC",1,1,663,"C","01"
"167",166,"BBBBB",1,1,613,"C","01"
"168",167,"CCVCC",0,1,669,"C","01"
"169",168,"VVVVV",1,1,611,"C","01"
"170",169,"VVXVV",0,1,694,"C","01"
"171",170,"VVBVV",1,1,688,"C","01"
"172",171,"BBBBB",1,1,964,"C","01"
"173",172,"CCXCC",1,1,614,"C","01"
"174",173,"CCBCC",0,1,958,"C","01"
"175",174,"VVVVV",1,1,631,"C","01"
"176",175,"XXXXX",1,1,669,"C","01"
"177",176,"CCXCC",1,1,668,"C","01"
"178",177,"XXCXX",1,1,993,"C","01"
"179",178,"XXXXX",1,1,579,"C","01"
"180",179,"CCVCC",0,1,604,"C","01"
"181",180,"BBCBB",0,1,634,"C","01"
"182",181,"CCVCC",0,1,948,"C","01"
"183",182,"CCVCC",0,1,605,"C","01"
"184",183,"BBXBB",0,1,702,"C","01"
"185",184,"VVBVV",1,1,634,"C","01"
"186",185,"VVCVV",0,1,928,"C","01"
"187",186,"XXBXX",0,1,548,"C","01"
"188",187,"CCXCC",1,1,598,"C","01"
"189",188,"XXBXX",0,1,1037,"C","01"
"190",189,"VVCVV",0,1,733,"C","01"
"191",190,"XXXXX",1,1,568,"C","01"
"192",191,"BBVBB",1,1,553,"C","01"
"193",192,"XXCXX",1,1,603,"C","01"
"194",193,"XXCXX",1,1,676,"C","01"
"195",194,"CCVCC",0,1,849,"C","01"
"196",195,"VVCVV",0,1,926,"C","01"
"197",196,"BBXBB",0,1,650,"C","01"
"198",197,"VVVVV",1,1,697,"C","01"
"199",198,"BBXBB",0,1,677,"C","01"
"200",199,"VVXVV",0,1,625,"C","01"
"201",200,"VVXVV",0,1,521,"C","01"
"202",201,"VVCVV",0,1,668,"C","01"
"203",202,"XXBXX",0,1,418,"C","01"
"204",203,"VVCVV",0,1,664,"C","01"
"205",204,"VVXVV",0,1,1070,"C","01"
"206",205,"XXXXX",1,1,1246,"C","01"
"207",206,"CCXCC",1,1,572,"C","01"
"208",207,"BBVBB",1,1,621,"C","01"
"209",208,"VVCVV",0,1,646,"C","01"
"210",209,"CCBCC",0,1,844,"C","01"
"211",210,"BBVBB",1,1,540,"C","01"
"212",211,"BBBBB",1,1,686,"C","01"
"213",212,"BBVBB",1,1,459,"C","01"
"214",1,"BBBBB",1,3,2000,"C","02"
