"","type","RT","errorStatus","condition","subn"
"2","go",772,0,"C","01"
"3","go",528,0,"C","01"
"4","go",455,0,"C","01"
"5","nogo",2000,0,"C","01"
"6","go",622,0,"C","01"
"7","go",479,0,"C","01"
"8","go",471,0,"C","01"
"9","go",417,0,"C","01"
"10","go",404,0,"C","01"
"11","go",446,0,"C","01"
"12","go",479,0,"C","01"
"13","nogo",2000,0,"C","01"
"14","go",493,0,"C","01"
"15","nogo",2000,0,"C","01"
"16","nogo",2000,0,"C","01"
"17","go",517,0,"C","01"
"18","go",481,0,"C","01"
"19","go",377,0,"C","01"
"20","go",437,0,"C","01"
"21","go",375,0,"C","01"
"22","go",348,0,"C","01"
"23","go",370,0,"C","01"
"24","go",335,0,"C","01"
"25","go",415,0,"C","01"
"26","nogo",2000,0,"C","01"
"27","nogo",2000,0,"C","01"
"28","go",728,0,"C","01"
"29","nogo",2000,0,"C","01"
"30","go",449,0,"C","01"
"31","go",641,0,"C","01"
"32","go",446,0,"C","01"
"33","go",454,0,"C","01"
"34","go",440,0,"C","01"
"35","go",378,0,"C","01"
"36","go",509,0,"C","01"
"37","go",428,0,"C","01"
"38","go",422,0,"C","01"
"39","go",372,0,"C","01"
"40","go",423,0,"C","01"
"41","go",451,0,"C","01"
"42","go",413,0,"C","01"
"43","go",367,0,"C","01"
"44","go",316,0,"C","01"
"45","go",361,0,"C","01"
"46","go",352,0,"C","01"
"47","go",310,0,"C","01"
"48","go",411,0,"C","01"
"49","go",424,0,"C","01"
"50","go",387,0,"C","01"
"51","go",431,0,"C","01"
"52","go",354,0,"C","01"
"53","nogo",2000,0,"C","01"
"54","nogo",2000,0,"C","01"
"55","go",524,0,"C","01"
"56","go",411,0,"C","01"
"57","go",350,0,"C","01"
"58","go",371,0,"C","01"
"59","go",353,0,"C","01"
"60","go",357,0,"C","01"
"61","go",325,0,"C","01"
"62","go",330,0,"C","01"
"63","go",344,0,"C","01"
"64","go",279,0,"C","01"
"65","go",383,0,"C","01"
"66","go",315,0,"C","01"
"67","go",338,0,"C","01"
"68","go",369,0,"C","01"
"69","go",310,0,"C","01"
"70","go",299,0,"C","01"
