"","block","trial","trialType","score","match","miss","falseAlarm","RT","Memory","currentLetter","nback1","nback2","condition","subn"
"2",1,1,0,1,0,0,0,3000,2,14,14,0,"C","01"
"3",1,2,0,1,0,0,0,3000,2,7,7,14,"C","01"
"4",1,3,0,1,0,0,0,3000,3,10,10,7,"C","01"
"5",1,4,0,1,0,0,0,3000,2,10,10,10,"C","01"
"6",1,5,1,1,1,0,0,1413,1,10,10,10,"C","01"
"7",1,6,0,1,0,0,0,3000,2,12,12,10,"C","01"
"8",1,7,0,1,0,0,0,3000,3,14,14,12,"C","01"
"9",1,8,0,1,0,0,0,3000,3,11,11,14,"C","01"
"10",1,9,1,1,1,0,0,2672,1,14,14,11,"C","01"
"11",1,10,0,1,0,0,0,3000,3,2,2,14,"C","01"
"12",1,11,0,1,0,0,0,3000,3,2,2,2,"C","01"
"13",1,12,0,1,0,0,0,3000,2,7,7,2,"C","01"
"14",1,13,1,1,1,0,0,540,1,2,2,7,"C","01"
"15",1,14,1,0,0,1,0,3000,1,7,7,2,"C","01"
"16",1,15,0,1,0,0,0,3000,3,10,10,7,"C","01"
"17",1,16,0,1,0,0,0,3000,3,1,1,10,"C","01"
"18",1,17,0,1,0,0,0,3000,3,15,15,1,"C","01"
"19",1,18,1,1,1,0,0,424,1,1,1,15,"C","01"
"20",1,19,1,0,0,1,0,3000,1,15,15,1,"C","01"
"21",1,20,1,0,0,1,0,3000,1,1,1,15,"C","01"
"22",1,21,1,1,1,0,0,1053,1,15,15,1,"C","01"
"23",1,22,0,1,0,0,0,3000,3,3,3,15,"C","01"
"24",1,23,0,1,0,0,0,3000,3,12,12,3,"C","01"
"25",1,24,0,1,0,0,0,3000,2,2,2,12,"C","01"
"26",1,25,0,1,0,0,0,3000,3,10,10,2,"C","01"
"27",2,1,0,1,0,0,0,3000,1,6,6,10,"C","01"
"28",2,2,0,1,0,0,0,3000,2,5,5,6,"C","01"
"29",2,3,0,1,0,0,0,3000,3,8,8,5,"C","01"
"30",2,4,1,1,1,0,0,651,1,5,5,8,"C","01"
"31",2,5,0,1,0,0,0,3000,3,11,11,5,"C","01"
"32",2,6,0,1,0,0,0,3000,2,7,7,11,"C","01"
"33",2,7,0,1,0,0,0,3000,3,1,1,7,"C","01"
"34",2,8,0,1,0,0,0,3000,3,5,5,1,"C","01"
"35",2,9,1,1,1,0,0,439,1,1,1,5,"C","01"
"36",2,10,1,1,1,0,0,719,1,5,5,1,"C","01"
"37",2,11,1,0,0,1,0,3000,1,1,1,5,"C","01"
"38",2,12,0,1,0,0,0,3000,3,6,6,1,"C","01"
"39",2,13,0,1,0,0,0,3000,2,9,9,6,"C","01"
"40",2,14,0,1,0,0,0,3000,3,12,12,9,"C","01"
"41",2,15,0,1,0,0,0,3000,2,10,10,12,"C","01"
"42",2,16,1,1,1,0,0,751,1,12,12,10,"C","01"
"43",2,17,1,1,1,0,0,496,1,10,10,12,"C","01"
"44",2,18,0,1,0,0,0,3000,3,15,15,10,"C","01"
"45",2,19,1,0,0,1,0,3000,1,10,10,15,"C","01"
"46",2,20,0,1,0,0,0,3000,3,4,4,10,"C","01"
"47",2,21,0,1,0,0,0,3000,3,7,7,4,"C","01"
"48",2,22,0,1,0,0,0,3000,2,1,1,7,"C","01"
"49",2,23,0,1,0,0,0,3000,3,14,14,1,"C","01"
"50",2,24,0,1,0,0,0,3000,2,4,4,14,"C","01"
