StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4#1_1,Q4#1_2,Q4#1_3,Q4#1_4,Q4#1_5,Q4#1_6,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,What is your age?,What is your biological (genetic) sex?,"For each of the following, would you describe yourself as - Answer - Hispanic/Latino","For each of the following, would you describe yourself as - Answer - American Indian/Alaska Native","For each of the following, would you describe yourself as - Answer - Asian","For each of the following, would you describe yourself as - Answer - Native Hawaiian or other Pacific Islander","For each of the following, would you describe yourself as - Answer - Black or African American","For each of the following, would you describe yourself as - Answer - White",I feel calm.,I feel secure.,I am tense.,I feel strained.,I feel at ease.,I feel upset.,I am presently worrying over possible misfortunes.,I feel satisfied.,I feel frightened.,I feel comfortable.,I feel self-confident.,I feel nervous.,I am jittery.,I feel indecisive.,I am relaxed.,I feel content.,I am worried.,I feel confused.,I feel steady.,I feel pleasant.,I get stressed out easily.,I am relaxed most of the time.,I worry about things.,I seldom feel blue.,I am easily disturbed.,I get upset easily.,I change my mood a lot.,I have frequent mood swings.,I get irritated easily.,I often feel blue.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID28#1_1""}","{""ImportId"":""QID28#1_2""}","{""ImportId"":""QID28#1_3""}","{""ImportId"":""QID28#1_4""}","{""ImportId"":""QID28#1_5""}","{""ImportId"":""QID28#1_6""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID9""}","{""ImportId"":""QID6""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID22""}","{""ImportId"":""QID20""}","{""ImportId"":""QID19""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}"
2021-10-05 20:40:49,2021-10-05 20:41:59,Survey Preview,,100,70,True,2021-10-05 20:41:59,R_Y043l76QLmNV58B,,,,,40.7841949462890625,-96.6461029052734375,preview,EN,,,,,,,,,,Not at all,Somewhat,Very much so,Moderately so,Not at all,Not at all,Not at all,Moderately so,Very much so,Very much so,Somewhat,Somewhat,Moderately so,Moderately so,Somewhat,Somewhat,Moderately so,Somewhat,Somewhat,Very much so,,,,,,,,,,
2021-10-06 12:47:33,2021-10-06 12:50:01,IP Address,104.218.80.138,100,148,True,2021-10-06 12:50:01,R_2Yx4IUjfRE8MgAo,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,jf_test,20,Male,No,No,No,No,No,Yes,Somewhat,Moderately so,Very much so,Moderately so,Moderately so,Somewhat,Somewhat,Very much so,Not at all,Moderately so,Very much so,Very much so,Very much so,Not at all,Somewhat,Somewhat,Moderately so,Somewhat,Somewhat,Very much so,agree,slightly disagree,agree,slightly disagree,neutral,slightly agree,neutral,slightly disagree,slightly agree,slightly agree
2021-10-06 12:55:53,2021-10-06 12:58:13,IP Address,104.218.80.138,100,139,True,2021-10-06 12:58:13,R_3k1GMLqIG0xAXEe,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,jf_test1,20,Male,No,No,No,No,No,Yes,Moderately so,Somewhat,Somewhat,Moderately so,Moderately so,Somewhat,Somewhat,Somewhat,Moderately so,Somewhat,Very much so,Somewhat,Not at all,Moderately so,Very much so,Very much so,Not at all,Very much so,Very much so,Very much so,neutral,slightly agree,slightly disagree,slightly agree,slightly disagree,agree,agree,agree,disagree,agree
2021-10-11 09:42:23,2021-10-11 09:42:51,Survey Preview,,100,27,True,2021-10-11 09:42:51,R_2YA4DJUf9zapk06,,,,,40.81610107421875,-96.7035980224609375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-11 09:42:52,2021-10-11 09:43:03,Survey Preview,,100,10,True,2021-10-11 09:43:03,R_3MKYDRdqQYoFtA5,,,,,40.81610107421875,-96.7035980224609375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-14 10:57:36,2021-10-14 11:19:31,IP Address,104.218.80.138,100,1314,True,2021-10-14 11:19:31,R_31WLjWDfiOGzI0y,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,jftest10142021,23,Male,No,No,No,No,No,No,Very much so,Very much so,Somewhat,Somewhat,Moderately so,Not at all,Not at all,Moderately so,Not at all,Moderately so,Moderately so,Not at all,Somewhat,Not at all,Moderately so,Moderately so,Not at all,Not at all,Very much so,Moderately so,disagree,slightly agree,slightly agree,disagree,slightly disagree,disagree,disagree,disagree,disagree,disagree
2021-10-21 09:38:59,2021-10-21 09:41:19,IP Address,104.218.80.138,100,139,True,2021-10-21 09:41:19,R_24HKQvVVJc8XIaD,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,001,18,Male,No,No,No,No,No,Yes,Very much so,Very much so,Somewhat,Somewhat,Very much so,Not at all,Not at all,Very much so,Not at all,Very much so,Very much so,Not at all,Somewhat,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,Very much so,disagree,agree,disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree
2021-10-21 11:31:29,2021-10-21 11:34:24,IP Address,104.218.80.138,100,174,True,2021-10-21 11:34:24,R_2SdmvohfLAe1d4k,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,002,21,Male,,,Yes,,,,Moderately so,Somewhat,Moderately so,Moderately so,Moderately so,Not at all,Not at all,Moderately so,Not at all,Moderately so,Moderately so,Not at all,Not at all,Somewhat,Moderately so,Moderately so,Not at all,Not at all,Moderately so,Moderately so,disagree,neutral,neutral,slightly agree,slightly disagree,disagree,slightly disagree,slightly disagree,slightly disagree,disagree
2021-10-22 12:47:19,2021-10-22 12:50:26,IP Address,104.218.80.138,100,186,True,2021-10-22 12:50:26,R_agXwRYaM6MbsIa5,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,003,19,Female,No,No,No,No,No,Yes,Moderately so,Moderately so,Somewhat,Somewhat,Moderately so,Not at all,Not at all,Somewhat,Not at all,Moderately so,Moderately so,Not at all,Not at all,Somewhat,Moderately so,Moderately so,Somewhat,Not at all,Moderately so,Very much so,slightly agree,slightly disagree,agree,slightly disagree,slightly disagree,disagree,neutral,neutral,slightly disagree,slightly disagree
2021-10-22 13:58:35,2021-10-22 14:00:24,IP Address,104.218.80.138,100,109,True,2021-10-22 14:00:24,R_4UvHNZpNOFmLh9T,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,004,18,Female,No,No,No,No,No,Yes,Somewhat,Not at all,Very much so,Moderately so,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Very much so,Moderately so,Somewhat,Not at all,Somewhat,Moderately so,Not at all,Somewhat,Somewhat,agree,slightly agree,agree,slightly agree,slightly disagree,neutral,slightly agree,slightly agree,agree,slightly disagree
2021-10-22 15:31:44,2021-10-22 15:33:44,IP Address,104.218.80.138,100,119,True,2021-10-22 15:33:45,R_yC8y4REoEwQ9MnD,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,005,18,Male,,,,,,Yes,Somewhat,Moderately so,Not at all,Somewhat,Very much so,Not at all,Not at all,Moderately so,Not at all,Very much so,Moderately so,Not at all,Somewhat,Not at all,Moderately so,Moderately so,Not at all,Not at all,Somewhat,Moderately so,slightly disagree,neutral,agree,neutral,slightly disagree,slightly disagree,slightly agree,slightly agree,slightly agree,slightly agree
2021-10-25 12:22:54,2021-10-25 12:25:05,IP Address,104.218.80.138,100,131,True,2021-10-25 12:25:06,R_AL4eVest3E0jjmF,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,006,31,Male,No,No,No,No,No,Yes,Moderately so,Moderately so,Not at all,Not at all,Moderately so,Not at all,Not at all,Moderately so,Not at all,Moderately so,Somewhat,Not at all,Not at all,Not at all,Moderately so,Very much so,Not at all,Not at all,Somewhat,Moderately so,neutral,slightly agree,agree,slightly disagree,slightly disagree,neutral,slightly disagree,disagree,slightly agree,disagree
2021-10-25 13:36:17,2021-10-25 13:38:09,IP Address,208.127.240.223,100,111,True,2021-10-25 13:38:10,R_3PHQoZz2RHurkjn,,,,,40.822601318359375,-96.67639923095703125,anonymous,EN,007,18,Female,No,No,No,No,No,Yes,Very much so,Very much so,Very much so,Moderately so,Very much so,Not at all,Moderately so,Moderately so,Not at all,Very much so,Moderately so,Not at all,Moderately so,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Moderately so,slightly agree,slightly disagree,agree,slightly agree,disagree,slightly disagree,slightly disagree,disagree,neutral,slightly disagree
2021-10-26 09:31:24,2021-10-26 09:33:53,IP Address,104.218.80.138,100,148,True,2021-10-26 09:33:53,R_21AHXoCbGtfLsrn,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,008,18,Female,,,Yes,,,,Moderately so,Moderately so,Not at all,Not at all,Moderately so,Not at all,Not at all,Very much so,Not at all,Very much so,Moderately so,Somewhat,Not at all,Very much so,Moderately so,Moderately so,Not at all,Not at all,Very much so,Very much so,disagree,slightly agree,slightly agree,disagree,slightly disagree,slightly disagree,neutral,disagree,disagree,slightly disagree
2021-10-26 10:21:51,2021-10-26 10:23:55,IP Address,104.218.80.138,100,123,True,2021-10-26 10:23:55,R_111oxtpz5H2ty7v,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,009,18,Female,No,No,No,No,No,Yes,Very much so,Very much so,Not at all,Not at all,Very much so,Not at all,Somewhat,Very much so,Not at all,Very much so,Very much so,Somewhat,Not at all,Moderately so,Very much so,Very much so,Somewhat,Not at all,Very much so,Very much so,slightly agree,neutral,agree,slightly disagree,slightly disagree,slightly disagree,slightly agree,slightly disagree,disagree,slightly disagree
2021-10-28 09:38:33,2021-10-28 09:41:07,IP Address,104.218.80.138,100,154,True,2021-10-28 09:41:08,R_1Qo1cUlktfPcyXN,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,10,18,Female,No,No,Yes,No,No,No,Very much so,Moderately so,Somewhat,Not at all,Moderately so,Not at all,Not at all,Moderately so,Not at all,Somewhat,Somewhat,Not at all,Not at all,Moderately so,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Moderately so,slightly agree,slightly agree,slightly agree,neutral,slightly disagree,slightly disagree,neutral,slightly disagree,slightly disagree,disagree
2021-10-28 10:20:15,2021-10-28 10:22:38,IP Address,104.218.80.138,100,143,True,2021-10-28 10:22:38,R_3lFZonyRX95EPby,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,11,21,Male,,,,,,Yes,Somewhat,Moderately so,Not at all,Somewhat,Moderately so,Not at all,Not at all,Moderately so,Not at all,Moderately so,Somewhat,Somewhat,Not at all,Somewhat,Moderately so,Moderately so,Somewhat,Somewhat,Moderately so,Moderately so,disagree,agree,slightly agree,slightly disagree,disagree,disagree,slightly disagree,disagree,slightly disagree,slightly agree
2021-10-28 11:01:00,2021-10-28 11:02:44,IP Address,104.218.80.138,100,103,True,2021-10-28 11:02:44,R_1i86GW2Kb0qk8f3,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,12,20,Male,,,,,,Yes,Very much so,Moderately so,Somewhat,Not at all,Very much so,Not at all,Somewhat,Moderately so,Not at all,Somewhat,Moderately so,Not at all,Not at all,Not at all,Moderately so,Moderately so,Not at all,Not at all,Somewhat,Somewhat,disagree,neutral,slightly agree,neutral,neutral,slightly agree,slightly agree,slightly disagree,slightly agree,disagree
2021-10-28 11:39:16,2021-10-28 11:41:12,IP Address,104.218.80.138,100,116,True,2021-10-28 11:41:13,R_3JeZ3H1UG5AbuHd,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,13,18,Male,,,Yes,,,,Somewhat,Moderately so,Not at all,Not at all,Somewhat,Not at all,Not at all,Moderately so,Not at all,Very much so,Moderately so,Not at all,Not at all,Moderately so,Very much so,Not at all,Not at all,Not at all,Somewhat,Moderately so,slightly agree,agree,slightly agree,disagree,neutral,slightly agree,neutral,slightly disagree,slightly disagree,disagree
2021-10-28 12:32:36,2021-10-28 12:34:47,IP Address,104.218.80.138,100,131,True,2021-10-28 12:34:47,R_x3qI0OQi1uY82uB,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,014,18,Female,,,,,,Yes,Moderately so,Very much so,Somewhat,Not at all,Moderately so,Somewhat,Somewhat,Moderately so,Not at all,Moderately so,Somewhat,Not at all,Not at all,Somewhat,Moderately so,Moderately so,Not at all,Not at all,Somewhat,Moderately so,agree,neutral,agree,slightly disagree,slightly disagree,disagree,slightly agree,agree,slightly agree,disagree
2021-11-01 12:22:03,2021-11-01 12:23:28,IP Address,104.218.80.138,100,84,True,2021-11-01 12:23:28,R_1BWc6K61fEMVMHd,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,015,20,Female,No,No,No,No,No,Yes,Very much so,Very much so,Not at all,Not at all,Very much so,Not at all,Somewhat,Moderately so,Not at all,Very much so,Very much so,Not at all,Not at all,Not at all,Very much so,Very much so,Somewhat,Not at all,Very much so,Moderately so,slightly agree,slightly disagree,slightly agree,slightly disagree,slightly agree,slightly agree,slightly disagree,slightly disagree,slightly agree,slightly disagree
2021-11-01 13:20:18,2021-11-01 13:21:56,IP Address,104.218.80.138,100,98,True,2021-11-01 13:21:56,R_RktlMFuVXVu6hqh,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,016,18,Male,,,,,,Yes,Very much so,Very much so,Somewhat,Not at all,Very much so,Not at all,Somewhat,Very much so,Not at all,Very much so,Very much so,Somewhat,Somewhat,Not at all,Moderately so,Very much so,Not at all,Not at all,Very much so,Very much so,agree,slightly agree,agree,neutral,slightly disagree,agree,slightly agree,slightly agree,slightly agree,neutral
2021-11-01 14:21:22,2021-11-01 14:23:28,IP Address,104.218.80.138,100,126,True,2021-11-01 14:23:29,R_3lX1VzNl0nP8Lnj,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,017,18,Female,No,No,No,No,No,Yes,Moderately so,Moderately so,Somewhat,Very much so,Somewhat,Not at all,Not at all,Moderately so,Not at all,Moderately so,Moderately so,Not at all,Very much so,Somewhat,Somewhat,Moderately so,Not at all,Somewhat,Somewhat,Moderately so,agree,neutral,agree,neutral,slightly disagree,slightly disagree,neutral,neutral,slightly agree,disagree
2021-11-01 15:20:10,2021-11-01 15:21:26,IP Address,104.218.80.138,100,76,True,2021-11-01 15:21:27,R_3gTtbK5iHuAgb5G,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,018,21,Female,No,No,No,No,No,Yes,Very much so,Very much so,Not at all,Not at all,Very much so,Not at all,Not at all,Very much so,Not at all,Very much so,Moderately so,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,Very much so,slightly agree,agree,agree,agree,disagree,disagree,disagree,disagree,disagree,disagree
2021-11-03 11:39:55,2021-11-03 12:27:23,IP Address,104.218.80.138,100,2847,True,2021-11-03 12:27:24,R_1155bjntplHx1Fm,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,019,21,Female,No,No,No,No,No,Yes,Somewhat,Moderately so,Moderately so,Very much so,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Moderately so,Moderately so,Somewhat,Somewhat,Somewhat,Moderately so,Somewhat,Somewhat,Moderately so,agree,slightly disagree,agree,disagree,neutral,neutral,neutral,neutral,slightly agree,slightly agree
2021-11-04 09:28:04,2021-11-04 09:29:42,IP Address,104.218.80.138,100,97,True,2021-11-04 09:29:42,R_1175bKWDtoFtp5g,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,020,21,Female,No,No,No,No,No,Yes,Very much so,Very much so,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Moderately so,Not at all,Moderately so,Very much so,Somewhat,Somewhat,Not at all,Somewhat,Very much so,Somewhat,Not at all,Moderately so,Moderately so,disagree,agree,slightly disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree
2021-11-04 11:25:21,2021-11-04 11:27:17,IP Address,104.218.80.138,100,115,True,2021-11-04 11:27:17,R_2CPcCHy5AvjlnWL,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,021,18,Female,No,No,Yes,No,No,No,Moderately so,Somewhat,Moderately so,Somewhat,Moderately so,Somewhat,Somewhat,Moderately so,Not at all,Moderately so,Somewhat,Somewhat,Somewhat,Moderately so,Somewhat,Somewhat,Moderately so,Somewhat,Moderately so,Somewhat,slightly agree,slightly agree,slightly agree,slightly disagree,neutral,slightly agree,slightly agree,slightly disagree,agree,slightly disagree
2021-11-04 12:25:56,2021-11-04 12:27:30,IP Address,104.218.80.138,100,94,True,2021-11-04 12:27:31,R_3rNgtmZU9uLCm9H,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,022,18,Male,,,,,,Yes,Very much so,Moderately so,Somewhat,Not at all,Very much so,Not at all,Somewhat,Moderately so,Not at all,Very much so,Moderately so,Somewhat,Somewhat,Not at all,Very much so,Very much so,Somewhat,Not at all,Moderately so,Moderately so,disagree,agree,neutral,slightly agree,disagree,disagree,disagree,disagree,slightly disagree,disagree
2021-11-09 09:22:01,2021-11-09 09:24:26,IP Address,104.218.80.138,100,144,True,2021-11-09 09:24:26,R_2srRH7uDm4Tz4zf,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,023,19,Female,No,No,No,No,No,Yes,Very much so,Very much so,Not at all,Not at all,Somewhat,Not at all,Somewhat,Moderately so,Not at all,Very much so,Very much so,Not at all,Somewhat,Not at all,Very much so,Very much so,Somewhat,Not at all,Very much so,Very much so,neutral,slightly agree,slightly agree,agree,slightly disagree,slightly disagree,slightly disagree,disagree,slightly disagree,disagree
2021-11-09 10:23:27,2021-11-09 10:25:28,IP Address,104.218.80.138,100,120,True,2021-11-09 10:25:28,R_2xDBHt0xr6XTqHD,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,024,19,Male,Yes,No,No,No,No,No,Very much so,Very much so,Somewhat,Somewhat,Moderately so,Not at all,Not at all,Moderately so,Not at all,Very much so,Moderately so,Not at all,Not at all,Not at all,Moderately so,Moderately so,Not at all,Not at all,Moderately so,Moderately so,slightly disagree,agree,disagree,slightly agree,neutral,slightly disagree,slightly disagree,disagree,slightly agree,disagree
2021-11-11 10:23:50,2021-11-11 10:26:15,IP Address,104.218.80.138,100,144,True,2021-11-11 10:26:15,R_1ewsKgE1OvP9HDp,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,025,19,Female,,,Yes,,,,Very much so,Very much so,Somewhat,Not at all,Very much so,Not at all,Not at all,Very much so,Not at all,Very much so,Very much so,Not at all,Not at all,Somewhat,Very much so,Very much so,Somewhat,Somewhat,Very much so,Very much so,slightly disagree,slightly agree,slightly disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree
2021-11-11 11:34:35,2021-11-11 11:36:28,IP Address,104.218.80.138,100,113,True,2021-11-11 11:36:28,R_UsEp1MBTW2Edupj,,,,,40.81610107421875,-96.7035980224609375,anonymous,EN,026,19,Female,,,,,,Yes,Moderately so,Moderately so,Moderately so,Moderately so,Somewhat,Not at all,Moderately so,Moderately so,Not at all,Moderately so,Moderately so,Somewhat,Somewhat,Moderately so,Moderately so,Somewhat,Somewhat,Somewhat,Moderately so,Moderately so,slightly agree,slightly disagree,agree,neutral,slightly agree,slightly disagree,slightly disagree,disagree,disagree,neutral
